bin,id,gap,gain,spatial,freq,accident,alzheimer,suicide,drug,australia,belgium,canada,usa,education,health,military,socialsecurity,edu,age,race,gender,predict1,predict2,predict3,trueaus,truebel,truecan,trueus,trueedu,truehealth,truemilitary,truesocial,trueaccident,truealzheimer,truesuicide,truedrug,misleading,mispe,normal,predictonly,explainonly,predictexplain,gapvote,gapbudget,gapdeath,trend,trend2,region,familiarbudget,familiardeath,familiarvote,pregap,postgap
0,1,14,0,6,2,56,27,30,54,73,84,62,56,5,28,17,33,3,1,1,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,10,3,1,17,1,0,1,2,1,143,0
0,2,29,0,7,4,49,28,33,53,60,85,62,57,5,25,20,33,1,0,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,21,3,5,15,3,2,1,1,1,143,0
0,3,73,0,10,3,61,44,40,53,66,77,62,53,25,20,18,33,3,2,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,27,16,30,14,4,0,1,1,1,143,4
0,4,92,0,4,2,52,17,45,30,55,60,75,68,32,40,35,14,3,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,27,41,24,9,9,2,1,1,1,143,31
0,5,102,0,7,2,50,9,29,54,67,56,51,39,3,27,12,34,3,2,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,72,4,26,17,1,2,1,1,1,143,16
0,6,105,0,3,2,80,50,65,57,62,87,61,57,7,24,19,33,4,3,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,18,3,84,16,2,0,0,0,0,143,4
0,7,114,0,10,2,54,17,23,49,54,63,46,40,4,29,17,37,1,2,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,82,7,25,17,1,0,1,1,1,143,17
0,8,115,0,0,3,66,40,41,38,88,88,55,41,62,34,38,31,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,13,85,17,9,9,1,0,1,1,143,33
0,9,120,0,3,2,47,54,13,40,62,70,70,73,20,52,76,28,2,0,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,10,96,14,6,12,2,1,1,1,143,2
0,10,146,0,6,3,11,49,25,58,44,62,47,36,6,36,18,45,3,3,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,96,25,25,12,6,1,1,1,1,143,4
