bin,id,gap,gain,spatial,freq,accident,alzheimer,suicide,drug,australia,belgium,canada,usa,education,health,military,socialsecurity,edu,age,race,gender,predict1,predict2,predict3,trueaus,truebel,truecan,trueus,trueedu,truehealth,truemilitary,truesocial,trueaccident,truealzheimer,truesuicide,truedrug,misleading,mispe,normal,predictonly,explainonly,predictexplain,gapvote,gapbudget,gapdeath,trend,trend2,region,familiarbudget,familiardeath,familiarvote,pregap,postgap,spatial_group,sgroup1,sgroup2,sgroup3,sgroup4,sgroup5
1,1,23,94.8718,7,2,50,26,35,57,76,69,62,57,4,25,16,33,2,2,0,0,50,10,5,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,21,2,0,17,1,1,1,1,1,78,4,1,0,0,0,1,0
1,2,35,60,8,2,56,17,33,45,83,70,58,64,7,40,25,16,2,0,0,1,64,8,40,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,10,8,17,15,3,3,1,1,1,45,18,1,0,0,0,0,1
1,3,44,44.73684,8,3,53,11,33,48,79,72,66,50,31,11,17,24,2,2,0,0,55,35,19,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,18,3,23,14,4,3,1,1,1,38,21,1,0,0,0,0,1
1,4,49,71.05263,3,4,56,35,42,53,68,82,61,57,7,26,17,44,3,2,0,0,60,6,45,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,17,14,18,17,1,0,0,0,1,38,11,0,0,1,0,0,0
1,5,57,42.85714,5,1,38,20,16,47,83,72,62,65,4,38,16,15,1,1,0,0,65,15,55,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,3,7,47,13,5,3,1,1,1,28,16,0,0,0,1,0,0
1,6,70,98.59155,4,1,57,39,28,52,63,55,67,57,8,42,16,33,2,3,1,0,65,8,15,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,43,19,8,13,5,1,1,0,1,71,1,0,0,0,1,0,0
1,7,71,13.04348,3,1,50,28,16,32,79,87,62,61,24,31,20,30,2,1,0,1,63,30,39,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,4,25,42,14,4,3,1,0,0,23,20,0,0,1,0,0,0
1,8,80,6.382979,9,4,54,27,34,44,66,50,66,48,8,32,17,7,1,2,0,0,49,6,41,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,55,16,9,13,5,0,0,0,0,47,44,1,0,0,0,0,1
1,9,83,64.28571,4,4,53,15,20,48,71,45,64,57,4,27,13,33,2,4,0,1,53,33,43,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,48,3,32,16,2,3,1,1,1,14,5,0,0,0,1,0,0
1,10,85,57.14286,8,3,54,18,11,58,89,79,74,57,14,30,40,40,1,4,0,0,54,40,35,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,14,44,27,14,4,1,1,0,1,28,12,1,0,0,0,0,1
1,11,96,18.60465,8,0,37,18,23,37,57,83,61,62,7,16,27,9,1,2,2,0,61,9,38,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,22,21,53,10,8,2,0,0,1,43,35,1,0,0,0,0,1
1,12,101,82.97873,5,3,51,33,25,75,56,68,67,45,19,40,26,31,2,1,0,0,41,18,69,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,49,36,16,13,5,2,1,1,1,47,8,0,0,0,1,0,0
1,13,104,-2.439024,4,3,23,30,36,36,80,62,65,22,12,38,24,1,2,1,2,0,22,1,38,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,56,5,43,10,8,0,1,1,1,82,84,0,0,0,1,0,0
1,14,108,-62.96296,4,1,59,33,48,44,67,48,55,45,27,8,13,10,2,1,0,0,54,10,54,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,70,22,16,11,7,2,1,0,1,27,44,0,0,0,1,0,0
1,15,108,86.20689,7,1,51,16,28,56,55,63,53,43,20,14,26,40,2,3,0,1,53,40,71,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,71,20,17,14,4,1,1,1,1,29,4,1,0,0,0,1,0
1,16,114,85,3,3,36,55,31,77,42,87,54,67,5,16,3,8,2,1,0,0,68,8,77,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,35,48,31,9,9,3,1,1,1,60,9,0,0,1,0,0,0
1,17,127,98.76543,5,1,53,59,10,41,62,72,68,73,36,51,75,30,1,1,2,0,75,10,13,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,10,112,5,6,12,1,0,1,0,81,1,0,0,0,1,0,0
1,18,142,-23.52941,6,2,39,34,21,28,39,48,61,43,12,12,24,30,1,0,2,0,53,36,26,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,94,2,46,10,8,2,1,0,1,34,42,1,0,0,0,1,0
1,19,148,62.85714,5,2,34,16,24,48,30,57,35,91,14,42,24,30,2,1,0,0,90,7,64,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,72,30,46,11,7,2,0,0,0,70,26,0,0,0,1,0,0
1,20,179,29.54545,2,2,58,36,44,46,44,65,32,47,32,42,53,19,3,3,0,0,72,49,40,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,97,66,16,11,7,2,0,2,1,44,31,0,0,1,0,0,0
1,21,190,71.79488,1,3,51,25,36,27,59,68,56,33,27,44,40,61,4,4,0,0,33,61,27,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,69,92,29,16,2,0,1,1,1,78,22,0,1,0,0,0,0
1,22,312,9.090909,1,1,41,31,36,36,29,27,31,9,38,45,48,48,2,1,1,0,94,38,66,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,189,99,24,13,5,0,0,2,0,55,50,0,1,0,0,0,0
1,23,315,24.29907,1,3,11,32,18,11,13,20,10,28,14,26,12,23,2,1,2,0,11,15,10,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,214,5,96,6,12,1,2,1,1,107,81,0,1,0,0,0,0
3,1,7,87.65432,9,3,60,22,30,56,76,85,65,59,5,25,19,38,2,3,0,0,47,9,6,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,0,7,0,17,1,1,1,0,1,81,10,1,0,0,0,0,1
3,2,17,97.82609,10,1,55,24,30,52,81,88,62,57,8,25,19,35,3,1,2,0,53,6,38,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,3,7,7,17,1,3,0,0,1,46,1,1,0,0,0,0,1
3,3,29,97.87234,8,1,53,19,32,54,72,77,62,57,13,20,16,33,1,1,2,0,64,9,69,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,17,2,10,16,2,0,0,1,1,47,1,1,0,0,0,0,1
3,4,38,83.58209,4,3,69,27,18,64,79,87,63,57,4,47,23,33,3,4,0,1,43,2,75,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,0,0,1,1,27,10,15,3,2,1,1,1,67,11,0,0,0,1,0,0
