bin,gap,id,spatial,freq,accident,alzheimer,suicide,drug,australia,belgium,canada,usa,education,health,military,socialsecurity,edu,age,race,gender,predict1,predict2,predict3,trueaus,truebel,truecan,trueus,trueedu,truehealth,truemilitary,truesocial,trueaccident,truealzheimer,truesuicide,truedrug,misleading,mispe,normal,predictonly,explainonly,predictexplain,gapvote,gapbudget,gapdeath,trend,trend2,region,familiarBudget,familiarDeath,familiarVote
4,21,1,3,2,54,22,31,48,76,86,66,55,7,28,18,33,2,4,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,2,6,13,17,1,3,1,1,1
4,31,2,4,0,58,28,32,54,52,85,65,57,4,27,16,34,2,3,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,26,1,4,15,3,0,1,1,1
4,50,3,8,3,53,15,23,52,79,87,62,57,25,28,19,33,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,0,25,25,16,2,1,1,1,1
4,52,4,4,3,26,8,44,62,79,82,71,57,4,15,61,20,2,1,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,4,20,28,13,5,2,0,0,0
4,98,5,3,1,39,11,28,54,70,56,70,51,19,36,16,33,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,38,24,36,13,5,3,1,1,1
4,100,6,7,3,80,68,36,53,64,86,75,57,7,40,28,33,2,2,2,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,3,28,69,13,5,1,0,0,0
4,108,7,7,2,36,9,45,53,69,86,67,57,14,65,45,33,2,1,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,6,77,25,13,5,0,0,0,0
4,146,8,4,2,40,28,19,53,79,82,62,57,59,52,49,33,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,5,113,28,10,8,1,0,1,0
4,157,9,7,1,20,8,15,40,78,75,88,84,21,22,60,9,2,2,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,40,32,85,9,9,2,1,1,1
4,173,10,1,3,43,39,28,27,52,51,25,55,46,23,17,34,2,1,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,102,40,31,9,9,0,1,1,2
