bin,gap,id,spatial,freq,accident,alzheimer,suicide,drug,australia,belgium,canada,usa,education,health,military,socialsecurity,edu,age,race,gender,familiarbudget1not,familiarbudget2somewhat,familiarbudget3very,familiardeath1not,familiardeath2somewhat,familiardeath3very,familiarvote1not,familiarvote2somewhat,familiarvote3very,genderother,middleschool,midwest,never,northeast,often,predict1,predict2,predict3,raceother,rarely,sometimes,south,veryoften,west,trueaus,truebel,truecan,trueus,trueedu,truehealth,truemilitary,truesocial,trueaccident,truealzheimer,truesuicide,truedrug,misleading,mispe,normal,predictonly,explainonly,predictexplain,gapVote,gapBudget,gapDeath,trend,trend2
0,14,1,6,2,56,27,30,54,73,84,62,56,5,28,17,33,3,1,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,10,3,1,17,1
0,29,2,7,4,49,28,33,53,60,85,62,57,5,25,20,33,1,0,2,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,21,3,5,15,3
0,73,3,10,3,61,44,40,53,66,77,62,53,25,20,18,33,3,2,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,27,16,30,14,4
0,92,4,4,2,52,17,45,30,55,60,75,68,32,40,35,14,3,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,27,41,24,9,9
0,102,5,7,2,50,9,29,54,67,56,51,39,3,27,12,34,3,2,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,72,4,26,17,1
0,105,6,3,2,80,50,65,57,62,87,61,57,7,24,19,33,4,3,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,18,3,84,16,2
0,114,7,10,2,54,17,23,49,54,63,46,40,4,29,17,37,1,2,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,82,7,25,17,1
0,115,8,0,3,66,40,41,38,88,88,55,41,62,34,38,31,2,1,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,13,85,17,9,9
0,120,9,3,2,47,54,13,40,62,70,70,73,20,52,76,28,2,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,10,96,14,6,12
0,146,10,6,3,11,49,25,58,44,62,47,36,6,36,18,45,3,3,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,96,25,25,12,6
0,146,11,6,2,67,20,34,61,61,27,44,73,18,30,51,33,2,1,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,80,52,14,12,6
0,202,12,8,3,24,17,13,44,53,46,61,11,26,19,11,42,2,2,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,114,18,70,12,6
0,205,13,1,2,27,26,39,26,46,33,43,61,38,24,45,26,3,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,102,53,50,7,11
0,214,14,2,2,32,12,10,7,45,51,52,32,6,32,6,38,1,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,105,2,107,11,7
0,234,15,3,1,57,45,65,42,68,50,40,50,45,52,65,34,2,4,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,77,116,41,9,9
0,249,16,3,2,36,20,46,24,32,19,42,33,37,24,43,24,3,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,159,48,42,7,11
0,302,17,0,1,29,27,19,15,28,20,24,40,35,29,46,21,2,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,173,51,78,6,12
0,308,18,1,1,18,42,23,10,13,18,12,30,21,43,12,25,2,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,212,21,75,7,11
0,312,19,4,3,42,20,40,30,25,32,39,20,38,45,50,54,2,1,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,169,107,36,13,5
4,21,1,3,2,54,22,31,48,76,86,66,55,7,28,18,33,2,4,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,2,6,13,17,1
4,31,2,4,0,58,28,32,54,52,85,65,57,4,27,16,34,2,3,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,26,1,4,15,3
4,50,3,8,3,53,15,23,52,79,87,62,57,25,28,19,33,2,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,0,25,25,16,2
4,52,4,4,3,26,8,44,62,79,82,71,57,4,15,61,20,2,1,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,4,20,28,13,5
4,98,5,3,1,39,11,28,54,70,56,70,51,19,36,16,33,2,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,38,24,36,13,5
4,100,6,7,3,80,68,36,53,64,86,75,57,7,40,28,33,2,2,2,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,3,28,69,13,5
4,108,7,7,2,36,9,45,53,69,86,67,57,14,65,45,33,2,1,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,6,77,25,13,5
4,146,8,4,2,40,28,19,53,79,82,62,57,59,52,49,33,2,1,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,5,113,28,10,8
4,157,9,7,1,20,8,15,40,78,75,88,84,21,22,60,9,2,2,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,40,32,85,9,9
4,173,10,1,3,43,39,28,27,52,51,25,55,46,23,17,34,2,1,2,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,102,40,31,9,9
4,173,11,4,0,25,22,31,62,25,66,13,60,17,7,66,14,2,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,121,24,28,9,9
4,215,12,6,3,44,21,14,40,68,56,67,19,30,42,62,37,1,1,2,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,75,91,49,13,5
4,216,13,8,3,63,7,27,53,77,63,76,57,47,72,63,84,2,1,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,12,186,18,17,1
4,229,14,3,4,19,31,48,69,54,31,17,85,31,41,58,80,2,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,98,130,1,11,7
4,292,15,0,2,10,17,49,14,19,57,20,79,58,25,72,29,2,3,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,110,104,78,4,14
4,317,16,7,1,16,27,10,7,18,39,15,23,8,21,16,16,1,3,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,190,19,108,9,9
4,386,17,2,3,30,21,19,26,17,18,8,23,64,46,17,48,3,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,79,87,62,57,4,27,16,33,57,27,31,53,1,0,0,0,0,0,219,95,72,10,8
