bin,gap,id,spatial,freq,accident,alzheimer,suicide,drug,australia,belgium,canada,usa,education,health,military,socialsecurity,edu,age,race,gender,predict1,predict2,predict3,trueaus,truebel,truecan,trueus,trueedu,truehealth,truemilitary,truesocial,trueaccident,truealzheimer,truesuicide,truedrug,misleading,mispe,normal,predictonly,explainonly,predictexplain,gapvote,gapbudget,gapdeath,trend,trend2,region,familiarBudget,familiarDeath,familiarVote
0,14,1,6,2,56,27,30,54,73,84,62,56,5,28,17,33,3,1,1,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,10,3,1,17,1,0,1,2,1
0,29,2,7,4,49,28,33,53,60,85,62,57,5,25,20,33,1,0,2,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,21,3,5,15,3,2,1,1,1
0,73,3,10,3,61,44,40,53,66,77,62,53,25,20,18,33,3,2,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,27,16,30,14,4,0,1,1,1
0,92,4,4,2,52,17,45,30,55,60,75,68,32,40,35,14,3,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,27,41,24,9,9,2,1,1,1
0,102,5,7,2,50,9,29,54,67,56,51,39,3,27,12,34,3,2,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,72,4,26,17,1,2,1,1,1
0,105,6,3,2,80,50,65,57,62,87,61,57,7,24,19,33,4,3,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,18,3,84,16,2,0,0,0,0
0,114,7,10,2,54,17,23,49,54,63,46,40,4,29,17,37,1,2,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,82,7,25,17,1,0,1,1,1
0,115,8,0,3,66,40,41,38,88,88,55,41,62,34,38,31,2,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,13,85,17,9,9,1,0,1,1
0,120,9,3,2,47,54,13,40,62,70,70,73,20,52,76,28,2,0,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,10,96,14,6,12,2,1,1,1
0,146,10,6,3,11,49,25,58,44,62,47,36,6,36,18,45,3,3,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,96,25,25,12,6,1,1,1,1
0,146,11,6,2,67,20,34,61,61,27,44,73,18,30,51,33,2,1,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,80,52,14,12,6,0,1,2,1
0,202,12,8,3,24,17,13,44,53,46,61,11,26,19,11,42,2,2,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,114,18,70,12,6,0,0,0,1
0,205,13,1,2,27,26,39,26,46,33,43,61,38,24,45,26,3,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,102,53,50,7,11,1,1,1,1
0,214,14,2,2,32,12,10,7,45,51,52,32,6,32,6,38,1,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,105,2,107,11,7,0,1,1,1
0,234,15,3,1,57,45,65,42,68,50,40,50,45,52,65,34,2,4,1,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,77,116,41,9,9,2,0,0,0
0,249,16,3,2,36,20,46,24,32,19,42,33,37,24,43,24,3,1,0,0,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,159,48,42,7,11,2,1,1,1
0,302,17,0,1,29,27,19,15,28,20,24,40,35,29,46,21,2,1,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,173,51,78,6,12,2,2,1,1
0,308,18,1,1,18,42,23,10,13,18,12,30,21,43,12,25,2,1,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,212,21,75,7,11,0,2,2,1
0,312,19,4,3,42,20,40,30,25,32,39,20,38,45,50,54,2,1,0,1,0,0,0,79,87,62,57,4,27,16,33,57,27,31,53,0,0,1,0,0,0,169,107,36,13,5,3,1,1,1
1,23,1,7,2,50,26,35,57,76,69,62,57,4,25,16,33,2,2,0,0,50,10,5,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,21,2,0,17,1,1,1,1,1
1,35,2,8,2,56,17,33,45,83,70,58,64,7,40,25,16,2,0,0,1,64,8,40,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,10,8,17,15,3,3,1,1,1
1,44,3,8,3,53,11,33,48,79,72,66,50,31,11,17,24,2,2,0,0,55,35,19,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,18,3,23,14,4,3,1,1,1
1,49,4,3,4,56,35,42,53,68,82,61,57,7,26,17,44,3,2,0,0,60,6,45,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,17,14,18,17,1,0,0,0,1
1,57,5,5,1,38,20,16,47,83,72,62,65,4,38,16,15,1,1,0,0,65,15,55,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,3,7,47,13,5,3,1,1,1
1,70,6,4,1,57,39,28,52,63,55,67,57,8,42,16,33,2,3,1,0,65,8,15,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,43,19,8,13,5,1,1,0,1
1,71,7,3,1,50,28,16,32,79,87,62,61,24,31,20,30,2,1,0,1,63,30,39,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,4,25,42,14,4,3,1,0,0
1,80,8,9,4,54,27,34,44,66,50,66,48,8,32,17,7,1,2,0,0,49,6,41,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,55,16,9,13,5,0,0,0,0
1,83,9,4,4,53,15,20,48,71,45,64,57,4,27,13,33,2,4,0,1,53,33,43,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,48,3,32,16,2,3,1,1,1
1,85,10,8,3,54,18,11,58,89,79,74,57,14,30,40,40,1,4,0,0,54,40,35,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,14,44,27,14,4,1,1,0,1
1,96,11,8,0,37,18,23,37,57,83,61,62,7,16,27,9,1,2,2,0,61,9,38,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,22,21,53,10,8,2,0,0,1
1,101,12,5,3,51,33,25,75,56,68,67,45,19,40,26,31,2,1,0,0,41,18,69,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,49,36,16,13,5,2,1,1,1
1,104,13,4,3,23,30,36,36,80,62,65,22,12,38,24,1,2,1,2,0,22,1,38,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,56,5,43,10,8,0,1,1,1
1,108,14,4,1,59,33,48,44,67,48,55,45,27,8,13,10,2,1,0,0,54,10,54,79,87,62,57,4,27,16,33,57,27,31,53,0,0,0,1,0,0,70,22,16,11,7,2,1,0,1
